תאריך,שם נייר ערך,"מספר ני""ע",סוג,תשואה ברוטו,"מח""מ",,דירוג מעלות,שער אחרון
16/04/2017,בזק אגח 9,2300176,לא צמוד,2.83%,6.51,בזק,AA,106.95
16/04/2017,בינל הנפק אגח ג,1093681,צמוד מדד,0.77%,0.78,בינל,AA+,128.64
16/04/2017,בינל הנפק אגח ח,1134212,לא צמוד,1.11%,2.69,בינל,AA+,102.74
16/04/2017,בינל הנפק אגח ט,1135177,צמוד מדד,0.59%,2.93,בינל,AA+,101.15
16/04/2017,בינל הנפק התח ד,1103126,צמוד מדד,0.76%,2.34,בינל,AA,130.29
16/04/2017,בינל הנפק התח ה,1105576,צמוד מדד,1.78%,0.15,בינל,AA,121.15
16/04/2017,בינל הנפק התח כ,1121953,צמוד מדד,0.70%,2.24,בינל,AA,111.12
16/04/2017,בינל הנפק התחכא,1126598,צמוד מדד,0.69%,2.15,בינל,AA,107.75
16/04/2017,בינל הנפק התחכב,1138585,צמוד מדד,2.03%,3.93,בינל,A+,5276000
16/04/2017,בינלהנפ שה נד ב,1091164,צמוד מדד,1.00%,0.86,בינל,AA,130.73
16/04/2017,בית הזהב אגח ב,2350072,לא צמוד,2.64%,4.36,בית הזהב,BBB+,111.92
16/04/2017,בית הזהב אגח ג,2350080,לא צמוד,3.23%,5.03,בית הזהב,BBB+,103.38
16/04/2017,בראק אן וי אגחא,1122860,צמוד מדד,1.17%,1.69,ברקן אן וי,AA-,111.91
16/04/2017,בראק אן וי אגחב,1128347,צמוד מדד,1.70%,4.74,ברקן אן וי,AA-,108.82
16/04/2017,בראק אן וי אגחג,1133040,צמוד מדד,2.36%,6.82,ברקן אן וי,AA-,107.39
16/04/2017,ברוקלנד אגח א,1132307,לא צמוד,4.14%,1.9,ברוקלנד,BBB+,107.4
16/04/2017,ברוקלנד אגח ב,1136993,לא צמוד,6.15%,3.11,ברוקלנד,BBB+,112.25
16/04/2017,ברם אגח א,1135730,לא צמוד,2.17%,2.64,ברם,BBB+,107.36
16/04/2017,ג'י.אף.אי אגח א,1134915,לא צמוד,4.75%,2.69,ג'י.אף.איי,A-,108.57
16/04/2017,ג'י.אף.אי אגח ב,1140540,לא צמוד,5.66%,3.93,ג'י.אף.איי,A-,100.83
16/04/2017,גב ים אגח ה,7590110,צמוד מדד,0.91%,0.94,גב ים,AA-,124.41
16/04/2017,גב ים אגח ו,7590128,צמוד מדד,1.76%,5.72,גב ים,AA-,142.07
16/04/2017,גב ים אגח ז,7590144,לא צמוד,6.76%,0.52,גב ים,AA-,106.04
16/04/2017,גזית גלוב אגח ג,1260306,צמוד מדד,1.22%,0.93,גזית גלוב,AA-,129.1
16/04/2017,גזית גלוב אגח ד,1260397,צמוד מדד,1.63%,2.91,גזית גלוב,AA-,129.73
16/04/2017,גזית גלוב אגח ה,1260421,לא צמוד,0.97%,0.45,גזית גלוב,AA-,100.17
16/04/2017,גזית גלוב אגח ט,1260462,צמוד מדד,1.13%,1.17,גזית גלוב,AA-,123.85
16/04/2017,גזית גלוב אגח י,1260488,צמוד מדד,0.94%,2.27,גזית גלוב,AA-,126.99
16/04/2017,גזית גלוב אגחיא,1260546,צמוד מדד,2.22%,4.9,גזית גלוב,AA-,119.17
16/04/2017,גזית גלוב אגחיב,1260603,צמוד מדד,3.35%,7.41,גזית גלוב,AA-,106.26
16/04/2017,גלובל כנפ אגח א,1121482,לא צמוד,2.22%,1.54,גלובל כנפיים,A-,110.18
16/04/2017,דה זראסאי אגח א,1127901,צמוד מדד,1.61%,2.72,דה זראסאי,AA-,110.67
16/04/2017,דה זראסאי אגח ב,1131028,לא צמוד,2.75%,3.55,דה זראסאי,AA-,109.63
16/04/2017,דה זראסאי אגח ג,1137975,לא צמוד,3.81%,5.44,דה זראסאי,AA-,104.99
16/04/2017,דה לסר אגח ב,1118587,צמוד מדד,2.63%,1.09,דה לסר,A-,115.21
16/04/2017,דה לסר אגח ג,1127299,צמוד מדד,2.11%,2.18,דה לסר,A-,108.35
16/04/2017,דה לסר אגח ד,1132059,צמוד מדד,4.91%,3.27,דה לסר,A-,94.98
